id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-1,2016-01-08,000001,Vente,40000,77,,RUE TONY REVILLON,0560,01750,01370,Saint-Laurent-sur-Saône,01,,,013700000A0253,,,4,41.55,,,,,,,,,1,2,Appartement,50,2,,,,,,4.840606,46.304486
2016-2,2016-01-11,000001,Vente,1677,,,LES BROTTEAUX,B011,01160,01430,Varambon,01,,,014300000C1043,,,,,,,,,,,,,0,,,,,L,landes,,,1486,5.322464,46.041159
2016-2,2016-01-11,000001,Vente,1677,,,LES BROTTEAUX,B011,01160,01430,Varambon,01,,,014300000C1157,,,,,,,,,,,,,0,,,,,L,landes,,,3904,5.317038,46.033713
2016-2,2016-01-11,000001,Vente,1677,,,LES BROTTEAUX,B011,01160,01430,Varambon,01,,,014300000C1159,,,,,,,,,,,,,0,,,,,L,landes,,,1779,5.324177,46.041343
2016-2,2016-01-11,000001,Vente,1677,5246,,LES BROTTEAUX,B011,01160,01430,Varambon,01,,,014300000C1160,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,0,S,sols,,,838,5.323666,46.040803
2016-2,2016-01-11,000001,Vente,1677,,,LES BROTTEAUX,B011,01160,01430,Varambon,01,,,014300000C1162,,,,,,,,,,,,,0,,,,,L,landes,,,1842,5.321966,46.039391
2016-2,2016-01-11,000001,Vente,1677,,,LES BROTTEAUX,B011,01160,01430,Varambon,01,,,014300000C1163,,,,,,,,,,,,,0,,,,,L,landes,,,419,5.322819,46.041144
2016-3,2016-01-08,000001,Vente,7915000,6,,AV AMEDEE MERCIER,0225,01000,01053,Bourg-en-Bresse,01,,,01053000BD0293,,,,,,,,,,,,,0,,,,,S,sols,,,228,5.234832,46.204876
2016-3,2016-01-08,000001,Vente,7915000,32,,BD ST NICOLAS,3430,01000,01053,Bourg-en-Bresse,01,,,01053000BD0294,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,3836,0,S,sols,,,1151,5.234834,46.204895
2016-3,2016-01-08,000001,Vente,7915000,6,,AV AMEDEE MERCIER,0225,01000,01053,Bourg-en-Bresse,01,,,01053000BD0300,,,,,,,,,,,,,0,,,,,S,sols,,,2,5.235418,46.205421
2016-3,2016-01-08,000001,Vente,7915000,32,,BD ST NICOLAS,3430,01000,01053,Bourg-en-Bresse,01,,,01053000BD0305,,,,,,,,,,,,,0,,,,,S,sols,,,229,5.234866,46.205173
2016-3,2016-01-08,000001,Vente,7915000,32,,BD ST NICOLAS,3430,01000,01053,Bourg-en-Bresse,01,,,01053000BD0307,,,,,,,,,,,,,0,,,,,S,sols,,,35,5.235003,46.205248
2016-3,2016-01-08,000001,Vente,7915000,32,,BD ST NICOLAS,3430,01000,01053,Bourg-en-Bresse,01,,,01053000BD0308,,,,,,,,,,,,,0,,,,,S,sols,,,23,5.235093,46.205228
2016-3,2016-01-08,000001,Vente,7915000,32,,BD ST NICOLAS,3430,01000,01053,Bourg-en-Bresse,01,,,01053000BD0313,,,,,,,,,,,,,0,,,,,S,sols,,,169,5.235138,46.205298
2016-4,2016-01-08,000001,Vente,90000,,,AU PELUS,B205,01560,01364,Saint-Jean-sur-Reyssouze,01,,,013640000D0848,,,,,,,,,,,,,0,,,,,T,terres,,,529,5.058103,46.386996
2016-4,2016-01-08,000001,Vente,90000,,,AU PELUS,B205,01560,01364,Saint-Jean-sur-Reyssouze,01,,,013640000D0849,,,,,,,,,,,,,0,,,,,T,terres,,,1031,5.058086,46.386935
2016-4,2016-01-08,000001,Vente,90000,5156,,PELUS,B203,01560,01364,Saint-Jean-sur-Reyssouze,01,,,013640000D0922,,,,,,,,,,,,,0,1,Maison,150,6,S,sols,,,1220,5.05902,46.386697
2016-5,2016-01-07,000001,Vente,100,,,PRE MICHEL,B272,01851,01232,Marboz,01,,,01232000WV0190,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,2090,5.229807,46.302711
2016-5,2016-01-07,000001,Vente,100,,,PRE MICHEL,B272,01851,01232,Marboz,01,,,01232000WV0191,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,5200,5.230613,46.302604
2016-6,2016-01-04,000001,Vente,203700,5149,,AU BOURG,B014,01190,01050,Boissey,01,,,010500000A1081,,,,,,,,,,,,,0,1,Maison,98,4,S,sols,,,500,4.996678,46.383446
2016-6,2016-01-04,000001,Vente,203700,5149,,AU BOURG,B014,01190,01050,Boissey,01,,,010500000A1081,,,,,,,,,,,,,0,1,Maison,98,4,AG,terrains d'agrément,,,750,4.996678,46.383446
2016-7,2016-01-09,000001,Vente,147000,205,,RUE DE LA VILLE,0031,01340,01024,Attignat,01,,,01024000AB0111,,,,,,,,,,,,,0,1,Maison,70,2,S,sols,,,464,5.161898,46.290693
